,acura,bmw,toyota,audi,cadillac,lexus,honda,pontiac,infiniti,volvo,comfort,design,performance,safety,technology
acura,0.0,1.246078465931122,1.3835071676816668,1.70425252445873,1.3463616907333087,1.5408947108662872,1.6737753651286027,1.5487183935021733,1.6631504961934849,1.5352912481707088,1.5688687865592061,1.4350770956910561,1.37512996393608,1.5342186894145016,1.5667018974596305
bmw,1.246078465931122,0.0,1.374738479050268,1.5300300023928288,1.5028556744614008,1.7992531987298173,1.3314967860422404,1.3968029578077423,1.5463119536999548,1.3623033857637965,1.4191389892096693,1.2703286397677112,1.3932567834418197,1.3691460055096418,1.4346174353505732
toyota,1.3835071676816668,1.374738479050268,0.0,1.5520263804250851,1.433665691546025,1.7309464182313243,1.7337536372453928,1.308546888559906,1.4997610109655437,1.8397421857889305,1.6914653775844268,1.4117988827525116,1.4345124159892877,1.7169010669253153,1.67205735114671
audi,1.70425252445873,1.5300300023928288,1.5520263804250851,0.0,2.0441614375420247,2.0077992813957315,1.8652561247216035,1.4754278513656076,2.1346668549386085,3.2739420935412022,1.960269171289192,1.8307641275939623,1.531426769418767,1.7461024498886415,1.958204612400316
cadillac,1.3463616907333087,1.5028556744614008,1.433665691546025,2.0441614375420247,0.0,1.7807490054644535,1.3373453694416584,1.8818296996251915,1.635887489558011,2.092729802310156,1.594327217577666,1.6811481908901829,1.3172260143261645,1.1918254764292877,1.6448539165884752
lexus,1.5408947108662872,1.7992531987298173,1.7309464182313243,2.0077992813957315,1.7807490054644535,0.0,1.72090112640801,1.5614089980897174,2.7437935748215527,2.1662158343090154,2.112728041419066,1.7113249171939555,1.4498211259649785,1.3798498122653315,1.5331664580725908
honda,1.6737753651286027,1.3314967860422404,1.7337536372453928,1.8652561247216035,1.3373453694416584,1.72090112640801,0.0,1.3048245614035088,1.6090297790585977,1.8817204301075268,1.7649687220732797,1.4820876523004183,1.5205787329681133,1.7083333333333333,1.8481182795698925
pontiac,1.5487183935021733,1.3968029578077423,1.308546888559906,1.4754278513656076,1.8818296996251915,1.5614089980897174,1.3048245614035088,0.0,2.6198240558167756,0.8111205432937181,1.4433116974742486,1.6883452493754845,1.3734280391243596,1.2733552631578948,1.3388688455008488
infiniti,1.6631504961934849,1.5463119536999548,1.4997610109655437,2.1346668549386085,1.635887489558011,2.7437935748215527,1.6090297790585977,2.6198240558167756,0.0,1.8790090173840288,1.8361134504098708,1.6293504766127245,1.446022799724567,1.7474783861671468,1.8932439341823928
volvo,1.5352912481707088,1.3623033857637965,1.8397421857889305,3.2739420935412022,2.092729802310156,2.1662158343090154,1.8817204301075268,0.8111205432937181,1.8790090173840288,0.0,2.3307100233503415,1.785016630589726,1.5286896945475306,2.370967741935484,1.8802029136316336
comfort,1.5688687865592061,1.4191389892096693,1.6914653775844268,1.960269171289192,1.594327217577666,2.112728041419066,1.7649687220732797,1.4433116974742486,1.8361134504098708,2.3307100233503415,0.0,1.6841960541692444,1.9846259697738973,1.7515638963360143,1.9246014586756608
design,1.4350770956910561,1.2703286397677112,1.4117988827525116,1.8307641275939623,1.6811481908901829,1.7113249171939555,1.4820876523004183,1.6883452493754845,1.6293504766127245,1.785016630589726,1.6841960541692444,0.0,1.405887152450888,1.6106110201854882,1.659979233760977
performance,1.37512996393608,1.3932567834418197,1.4345124159892877,1.531426769418767,1.3172260143261645,1.4498211259649785,1.5205787329681133,1.3734280391243596,1.446022799724567,1.5286896945475306,1.9846259697738973,1.405887152450888,0.0,1.7912979351032448,1.7276857931296985
safety,1.5342186894145016,1.3691460055096418,1.7169010669253153,1.7461024498886415,1.1918254764292877,1.3798498122653315,1.7083333333333333,1.2733552631578948,1.7474783861671468,2.370967741935484,1.7515638963360143,1.6106110201854882,1.7912979351032448,0.0,2.453293010752688
technology,1.5667018974596305,1.4346174353505732,1.67205735114671,1.958204612400316,1.6448539165884752,1.5331664580725908,1.8481182795698925,1.3388688455008488,1.8932439341823928,1.8802029136316336,1.9246014586756608,1.659979233760977,1.7276857931296985,2.453293010752688,0.0
