,nb,nb2,value
0,acura,bmw,1.245447023658684773747988752
1,acura,toyota,1.383507167681666703648697286
2,acura,audi,1.704252524458729968194367562
3,acura,cadillac,1.346361690733308883610894724
4,acura,lexus,1.539254300932634027876982102
5,acura,honda,1.673775365128602817629572186
6,acura,pontiac,1.548718393502173425032142201
7,acura,infiniti,1.663150496193484729800550445
8,acura,volvo,1.531036715517793078524452542
9,bmw,toyota,1.373876368024317037964822777
10,bmw,audi,1.530632376409518966031250548
11,bmw,cadillac,1.503447349923787109359574787
12,bmw,lexus,1.802217157065893079154579362
13,bmw,honda,1.332020997375328083989501312
14,bmw,pontiac,1.397352880232076253626191463
15,bmw,infiniti,1.546920737933694887562685788
16,bmw,volvo,1.357885482761256784649491629
17,toyota,audi,1.552026380425085166087371657
18,toyota,cadillac,1.433665691546025078144229001
19,toyota,lexus,1.728648731430905099800908673
20,toyota,honda,1.733753637245392822502424830
21,toyota,pontiac,1.308546888559906069733013426
22,toyota,infiniti,1.499761010965543651137503948
23,toyota,volvo,1.834160443720395882967803904
24,audi,cadillac,2.044161437542024737910837189
25,audi,lexus,2.000058609776110655257296917
26,audi,honda,1.865256124721603563474387528
27,audi,pontiac,1.475427851365607783378267495
28,audi,infiniti,2.134666854938608370827262633
29,audi,volvo,3.258049170757022077107704284
30,cadillac,lexus,1.773742279469988914110753313
31,cadillac,honda,1.337345369441658308258107656
32,cadillac,pontiac,1.881829699625191363564377343
33,cadillac,infiniti,1.635887489558011209420769513
34,cadillac,volvo,2.099502390667147072284815612
35,lexus,honda,1.723057644110275689223057644
36,lexus,pontiac,1.563365650969529085872576177
37,lexus,infiniti,2.733960260882754436523585621
38,lexus,volvo,2.146142054164537557485947879
39,honda,pontiac,1.304824561403508771929824561
40,honda,infiniti,1.609029779058597502401536984
41,honda,volvo,1.860841423948220064724919094
42,pontiac,infiniti,2.619824055816775367814348551
43,pontiac,volvo,0.8137455288707204905467552376
44,infiniti,volvo,1.885089952715368904059763297
