"shipo","March 2006"," the  acura  has a 39.7 foot turning radius? geez, even the 300c beats it by nearly a foot with a 38.9 rating. "
"catman2050","March 2006"," and the  toyota  betters the  acura  by almost 3 feet...at a 330i-like 36.9.but, of course, the  toyota  isn't small and its not a sports sedan. to answer the original question, i'd go check out the 330i. "
"bhelsdon","March 2006"," i love my  acura , so don't get me wrong. the turning radius sucks. my partner and i laugh about it when we are in tight  comfort s. we call it our ""lit acura e yacht"". i have gotten very efficient at three point turns. "
"laurasdada","March 2006"," i'll second that. the  acura  is fab, but it does have the turning raduis of, well, a crown vic! other than that, it is   performance  ful and maneuverable. but not a small car, either. mid-size. "
"cdnpinhead","March 2006"," thanks for your post.i've been searching for turning circle data for a number of  car , and your post filled in a couple of blanks. besides which, the link   safety  olutely rules in terms of comparative data. i was able to fill in a couple dozen more blanks in my excel sheet with what i learned there, with more to come.thanks again. "
"kyfdx","March 2006"," except for the  toyota ... all of the  car  l toyota ed with short turning radii are rwd  car  vs. the fwd acura..fwd geometry accounts for most of the difference.. couple that with aggressively wide tires, and it isn't surprising.. "
"shipo","March 2006"," errr, how about the audi  audi  and  audi ? the are rated at 35.10' and 36.40' respectively. ;-)best regards,shipo "
"kyfdx","March 2006"," doesn't count... they aren't on the l toyota  above.. i'd tell you more... but, it would be off-topic.. "
"nyccarguy","March 2006"," are known for their exceptionally wide turning radiuses. i practically have to make a 3 point turn to get into straight parking  comfort s with my  honda . a small price to pay for great    performance   . "
"quasiactuary","March 2006"," ""are known for their exceptionally wide turning radiuses. i practically have to make a 3 point turn to get into straight parking  comfort s with my  honda . a small price to pay for great    performance   .""but why pay that price for great    performance    when you don't have to? the is250,  pontiac 5, 330i,  audi , and  audi  (to name a few) all handle at least as great as any honda or acura (many would say they handle better than any honda or acura)....and are much easier to park. "
"poodog13","March 2006","  ford ing in only on turning radius as a way of comparing these  car  is inheran acura y unfair. while the  acura  may have a much larger turning radius, it is also a much larger car than the 3 series bmw. add to that the 18"" wheels and wide tread and that results in a wide turning radius.given the size difference, i see these  car  being in the fringe of one another's class from a comparison perspective. i just bought a maxxed out  nissan  sl that compares more direc acura y with the  acura  and they are almost same in size,   performance  , and turning radius! "
"shipo","March 2006"," ""add to that the 18"" wheels and wide tread and that results in a wide turning radius.""say what? the diameter of the wheel has nothing what-so-ever to do with turning radius. fwiw, the  acura  comes standard with 235/45  subaru 7 mounted on 17"" rims.best regards,shipo "
"quasiactuary","March 2006"," "" ford ing in only on turning radius as a way of comparing these  car  is inheran acura y unfair. while the  acura  may have a much larger turning radius, it is also a much larger car than the 3 series bmw. add to that the 18"" wheels and wide tread and that results in a wide turning radius. given the size difference, i see these  car  being in the fringe of one another's class from a comparison perspective. i just bought a maxxed out  nissan  sl that compares more direc acura y with the  acura  and they are almost same in size,   performance  , and turning radius!""i was  ford ing on turning radius as an objective measure of maneuverability. i certainly wouldn't buy a car stric acura y based on turning radius, but it goes into the equation for me.and there isn't a size difference between the  acura  and the  pontiac 5....both have 98 cubic feet of passenger volume (the 330i does only have 93). btw - trunk volume of the  acura  is only 12.5 cubic feet compared with 14.8 for the  pontiac 5 (330i is 12.0) so i could argue that the  pontiac 5 is overall (passenger plus trunk) a larger car than the  acura  with a much smaller turning radius. the  acura  is at a disadvantage in terms of maneuverability because of its front wheel drive   design  ....not trying to reopen the front-vs-rear debate.i think that the  acura  is a great overall car. i find myself in parking lots/garages fairly frequen acura y so turning radius mades a difference to me. there are obviously good and bad points for all  car ....turning radius is a bad point for the  acura . "
"blueguydotcom","March 2006"," i heard that the  bmw  will be sold solely as a coupe/convertible. if that is the case then i am not interested in the  bmw .it would be the 335ci then. i don't buy that for an instant. the i has been in need of a   performance  ful sedan version since the e46 changeover. bmw screwed sedan drivers with the e46  bmw . an e90  bmw  sedan would be great but far too many people make an ignorant connection between 2 doors and sports  car  v. 4 door  car . i'd much rather the stiffer chassis of a sedan and the f dodge ed window glass over the flexible   design   of the coupe and it's lousy window   design  . "
"blueguydotcom","March 2006"," no, but your opinion of people that drive an at does. nothing pompous about saying at drivers are lazy. seems to be a fact...most will cite ""i drive in traffic."" wah-wah-wah. "
"blueguydotcom","March 2006"," neither the  acura  nor the  mercedes  are large  car  and they're both maneuverable. your point was??point of view. if an e46 feels large, then it's quite possible for some of us to find the the  acura  and e to be positively massive. "
"dewey","March 2006"," my bad, i meant 335ci.bmw is being presumptious not only in their connections between sport and two doors but also with non-sport and touring wagons.if there was a bmw 330xi touring or even better a 330i touring (prefer rwd), i would have one in my garage right now. unfortunately bmw only sells 325xi touring and 530xi touring wagons. not my idea of excitement at all. or how about the 1 series hatchback wagon? nope not here folks, we are going to have to set acura e for a 1 series coupe.shame, shame bmw! at least audi caters to seekers who want more sport in their wagons by selling  audi  3.2 and s4 avants and ofcourse the  audi   audi . "
"potemkin","March 2006"," ""it would be the 335ci then.""rumor has it that bmw is dropping the ""c""   design  ation. i guess somebody in munich figured out that there are other ways to determine whether it's a coupe or a sedan.counting the doors, perhaps?keep in mind, it's information i got second-hand, so it's not worth much. "
