acura,5822
foot,51
turning,85
radius,41
geez,27
even,1359
300c,21
beats,38
nearly,120
rating,51
toyota,3351
betters,1
almost,366
feet,54
330ilike,1
course,314
isnt,486
small,313
sports,386
sedan,1332
answer,79
original,104
question,160
id,541
go,738
check,179
330i,287
love,309
dont,1939
get,2048
wrong,243
sucks,21
partner,6
laugh,23
tight,98
comfort,1810
call,173
lit,520
e,834
yacht,6
gotten,58
efficient,31
three,183
point,578
turns,58
ill,428
second,231
fab,1
raduis,1
well,1453
crown,9
vic,4
performance,5378
ful,103
maneuverable,5
car,7697
either,385
midsize,77
thanks,205
post,368
ive,776
searching,12
circle,12
data,67
number,175
filled,14
couple,231
blanks,3
besides,64
link,79
safety,944
olutely,91
rules,27
terms,125
comparative,3
able,353
fill,19
dozen,28
excel,6
sheet,19
learned,38
come,375
except,153
l,576
ed,749
short,148
radii,1
rwd,496
vs,360
fwd,406
geometry,8
accounts,12
difference,422
aggressively,4
wide,45
tires,449
surprising,19
errr,7
audi,2057
rated,54
respectively,14
best,840
regardsshipo,164
doesnt,617
count,55
arent,212
tell,296
would,2254
offtopic,13
known,58
exceptionally,8
radiuses,2
practically,12
make,882
turn,144
straight,139
parking,73
honda,1377
price,1070
pay,327
great,706
is250,177
pontiac,1262
name,101
handle,106
least,447
many,734
say,796
better,1363
much,1316
easier,49
park,73
ford,352
ing,734
way,875
comparing,134
inheran,2
unfair,10
may,549
larger,117
also,1103
series,1022
bmw,5528
add,264
wheels,257
tread,17
results,51
given,207
size,298
see,877
fringe,3
one,2405
anothers,5
class,567
comparison,184
perspective,59
bought,335
maxxed,2
nissan,576
sl,5
compares,25
direc,27
diameter,4
wheel,266
nothing,326
whatsoever,11
fwiw,46
comes,315
standard,264
subaru,213
mounted,13
rims,36
objective,31
measure,30
maneuverability,2
certainly,182
wouldnt,265
buy,817
stric,17
based,321
goes,157
equation,25
cubic,11
passenger,75
volume,29
btw,175
trunk,89
compared,297
could,832
argue,70
overall,137
plus,200
smaller,152
disadvantage,13
front,351
drive,1271
design,3587
trying,240
reopen,1
frontvsrear,1
debate,48
think,1563
find,503
lotsgarages,1
fairly,39
frequen,10
mades,1
obviously,76
good,1199
bad,375
points,73
heard,137
sold,180
solely,8
coupeconvertible,6
case,247
interested,70
335ci,3
instant,11
need,570
version,183
since,611
e46,174
changeover,6
screwed,18
drivers,201
e90,204
far,480
people,1093
ignorant,5
connection,13
doors,84
v,320
door,185
rather,195
stiffer,15
chassis,102
f,49
dodge,462
window,58
glass,19
flexible,5
coupe,338
lousy,43
opinion,256
pompous,1
saying,228
lazy,18
seems,366
fact,346
cite,9
traffic,102
wahwahwah,1
neither,77
mercedes,507
large,135
theyre,164
view,81
feels,137
quite,301
possible,118
us,518
positively,4
massive,35
meant,69
presumptious,1
connections,3
sport,738
two,541
nonsport,11
touring,41
wagons,22
330xi,37
prefer,134
garage,71
right,637
unfortunately,94
sells,69
325xi,11
530xi,13
idea,139
excitement,6
hatchback,20
wagon,91
nope,32
folks,152
going,691
set,205
shame,30
caters,3
seekers,1
want,1015
selling,109
s4,149
avants,1
ofcourse,3
rumor,15
dropping,18
c,247
ation,8
guess,369
somebody,30
munich,53
figured,25
ways,41
determine,21
whether,113
counting,16
perhaps,179
keep,357
mind,162
information,65
got,568
secondhand,1
worth,227
agree,567
something,550
dewey,2
hatches,5
cool,66
know,1045
didnt,476
carry,35
stuff,133
hate,67
put,432
bunch,60
conventional,9
cumbersome,1
using,115
hauling,4
things,300
cheers,5
another,466
uponit,1
lexus,1413
killed,20
crossover,11
surprised,84
infinitinissan,2
held,12
details,30
upcoming,34
g,410
yes,394
saw,120
likely,134
displayed,3
precious,8
technology,1223
nology,1265
nical,8
available,218
fourdoor,6
shown,24
ny,27
weeks,104
japanese,201
magazine,61
speculated,1
7l,9
supposedly,21
trademarked,4
infiniti,1183
etc,393
regarding,99
specs,33
anything,335
else,257
transmission,416
new,1477
toyotalike,2
hiding,5
info,46
time,969
petes,2
sake,23
preoccupation,1
unless,169
directionally,1
challenged,9
repeated,6
uturns,1
narrow,36
roads,120
cannot,104
imagine,59
average,189
driver,243
steering,292
lock,10
enough,375
issue,191
big,477
hones,74
complete,40
shot,34
uturn,1
street,74
yet,337
ever,408
presented,10
slightest,3
problem,547
dcs,1
tightest,3
underground,2
garages,2
carefully,13
position,68
vehicles,400
lines,45
others,354
abandon,3
somewhere,50
lot,618
ability,41
former,61
important,147
enters,2
picture,36
back,944
day,309
paid,123
mile,133
usually,119
referred,6
trucks,36
werent,35
lined,8
properly,42
company,145
tractors,1
highly,37
upon,91
hour,41
appear,21
lack,135
certain,93
skills,17
precisely,7
vehicle,479
give,302
acres,2
rig,12
around,503
appreciate,49
deal,320
daily,66
fans,48
notice,69
truck,63
damn,61
enter,10
olympics,3
surprise,180
never,647
remotest,1
difficulty,4
positioning,3
pulling,33
leg,52
compliment,8
sub,48
humor,8
youre,386
actually,517
serious,113
youve,93
really,1039
tipped,3
scale,14
sublime,12
completely,108
urd,11
included,126
words,68
easily,110
correct,84
perfec,39
sufficient,7
skill,2
andor,58
pleasant,11
thing,535
world,219
dime,22
therefore,41
quicklyeasily,1
im,1319
reason,285
fools,7
mission,10
sure,513
use,400
directional,2
signals,8
considerate,7
possesses,6
though,474
mentally,3
physically,9
weekend,55
girls,9
type,168
next,406
zip,12
code,17
pull,73
curb,21
side,182
gives,76
left,180
plenty,89
room,171
takes,92
range,150
thier,10
corner,83
rest,141
saturn,59
nt,21
saturday,29
came,221
section,19
immediately,32
full,129
making,187
impossible,47
open,61
access,67
seat,863
intentional,4
knows,66
loading,7
kids,93
guy,145
pulls,17
utility,11
van,9
says,128
like,2658
help,113
spare,45
buddy,23
vacating,1
anyone,295
getting,407
inside,128
rear,379
hatch,26
encourage,4
definitely,194
kick,27
excellent,117
net,29
premium,264
auto,335
cold,39
weather,58
satellite,16
prep,3
nj,16
flemin,1
n,47
yea,12
thats,989
insult,10
ab,1
tanks,2
makes,390
nuts,12
companys,9
structure,23
sunday,19
place,205
totally,98
empty,16
parked,28
elevator,2
returned,16
friend,87
er,325
entire,73
closer,80
spots,19
argh,6
still,862
mad,38
thinking,132
feel,526
pain,25
noticed,48
kink,1
deep,34
person,158
postal,2
drop,87
passengers,40
end,366
close,291
without,406
chevrolet,294
spot,41
sometimes,73
rows,2
beside,10
somehow,44
batter,2
heck,79
must,202
magnet,2
wherever,5
enthusiast,94
years,999
driving,1004
concerned,48
thought,302
cant,618
decent,113
market,302
match,59
today,206
anyway,129
recent,71
appalled,3
live,225
urban,10
area,121
tries,12
used,466
added,113
tightness,1
major,108
consideration,51
whatever,101
conspicuously,1
away,201
become,78
target,30
animosity,1
viewed,4
sno,4
assume,110
owner,93
thinks,46
deserve,9
near,185
commoners,1
owners,196
intent,8
lash,1
jerks,7
hurting,7
leaves,23
cowardly,1
act,18
often,137
low,232
likelyhood,1
theyll,47
caught,29
oh,207
confuse,145
guys,145
sound,197
ones,133
take,602
majority,78
care,223
dings,18
ding,9
idiots,8
nice,525
annoy,1
although,176
believe,358
simply,144
walk,34
dealers,163
redisgned,1
ex,102
hope,149
main,101
wait,169
present,21
ideas,14
patience,3
virtue,2
exciting,11
current,374
model,490
somewhat,84
serieswhich,1
awesome,37
eastbound,2
ca101,1
towards,38
los,8
angeles,7
seemed,61
updated,13
3digit,1
license,25
plate,14
tester,6
diamond,8
graphiteblack,1
leather,426
similar,178
dual,19
exhaust,55
ou,11
ets,4
roof,27
antenna,7
3series,3
quick,92
glanced,2
limited,78
visibility,8
navi,71
coolest,1
date,40
imo,215
sorry,182
wasnt,180
snap,8
european,155
already,194
mean,261
plan,68
import,23
canadaus,1
smart,44
practical,33
force,24
heavier,84
x3,72
immigrate,1
europe,163
america,49
x5,32
kind,180
work,253
downtown,9
always,349
paved,3
roadshighways,1
importroad,1
licence,1
souldnt,1
