location_name,demand
location_0,46.0
location_1,22.0
location_2,49.0
location_3,17.0
location_4,30.0
location_5,21.0
location_6,23.0
location_7,13.0
location_8,8.0
location_9,29.0
location_10,40.0
location_11,21.0
location_12,14.0
location_13,30.0
location_14,34.0
location_15,40.0
location_16,42.0
location_17,32.0
location_18,33.0
location_19,27.0
location_20,32.0
location_21,6.0
location_22,42.0
location_23,33.0
location_24,17.0
location_25,36.0
location_26,34.0
location_27,26.0
location_28,35.0
location_29,25.0
location_30,37.0
location_31,16.0
location_32,24.0
location_33,31.0
location_34,8.0
location_35,16.0
location_36,31.0
location_37,20.0
location_38,16.0
location_39,36.0
location_40,33.0
location_41,24.0
location_42,27.0
location_43,14.0
location_44,20.0
location_45,40.0
location_46,32.0
location_47,17.0
location_48,19.0
location_49,23.0
