name,x,y,lb,ub,c
location_0,0.8047755307615074,0.6979992440806864,7,42,0.517370131937654
location_1,0.1101293044315753,0.9209035130628984,17,48,0.7560557850579532
location_2,0.2521236000507387,0.8048769736503673,1,36,0.24399890578725897
location_3,0.1622812926578269,0.5733597926227784,14,30,0.760717465527577
location_4,0.8661394268908064,0.1993192602994512,7,37,0.39373449494563206
location_5,0.918468105610423,0.8973773375409241,18,47,0.2865405581787389
location_6,0.5967458977160773,0.922366769030816,16,34,0.5685237359550395
location_7,0.745139304022702,0.9616767085684976,9,25,0.77179077037278
location_8,0.5523155164930642,0.3217644493855932,19,37,0.24764611290429672
location_9,0.6461429044404807,0.2417598370471109,12,31,0.4499591120968345
location_10,0.0042276322800165,0.8646566396788457,6,27,0.6424680349608352
location_11,0.2171386291439601,0.8773534508870064,13,23,0.5892386525313125
location_12,0.0849652121049504,0.8481940949379579,6,25,0.7976037307119592
location_13,0.3098280656595464,0.7997527633639031,3,22,0.3261061675344635
location_14,0.9453941145581064,0.2108941373149764,15,32,0.6948121706074732
location_15,0.0240910083606961,0.6743883186196917,19,25,0.5862478444013374
location_16,0.0962239175349779,0.4568595487192234,5,39,0.32154360268569826
location_17,0.9078863588901184,0.5129616520815196,2,30,0.7474703982092357
location_18,0.6222570702910256,0.5070351660951645,16,23,0.7915104286156345
location_19,0.4646502209107983,0.9155450333766464,7,42,0.6275152697574005
location_20,0.5223713679397461,0.7333947430733853,1,45,0.2825919293792379
location_21,0.5767110628603455,0.7555591493317749,15,37,0.4525217446784798
location_22,0.9645315936617712,0.4481311325188484,13,24,0.5729927354157038
location_23,0.5130876318246576,0.118734689169676,14,39,0.41277174677539663
location_24,0.7654559931558147,0.1408837949320878,15,27,0.346928872710707
location_25,0.5498123427060287,0.9110928052551835,13,32,0.5406819884790002
location_26,0.0388909104227422,0.116478867183574,0,46,0.7747820188493164
location_27,0.9114933317023308,0.1495681123912344,17,47,0.26197580953600424
location_28,0.5053040719102793,0.5947365928108572,14,37,0.5869254599804085
location_29,0.3951076691909406,0.7368471557499682,7,43,0.36774024091459895
location_30,0.9186305036414182,0.5317364127486192,14,47,0.4899284622726683
location_31,0.8254831232903502,0.4710896279044908,17,30,0.5703908783789349
location_32,0.1336642376733152,0.0013930156199952,10,36,0.43021774828287507
location_33,0.4581696437887202,0.8109284819356538,0,37,0.7621015604716621
location_34,0.6249164768277223,0.417564926421383,18,47,0.537121308494708
location_35,0.8302082538534246,0.1870625557694798,6,33,0.6809785442973948
location_36,0.3373147007421048,0.6451325036316057,16,26,0.7260445226019239
location_37,0.2433064895578022,0.9048971726444413,16,40,0.25727317710600844
location_38,0.6774867952052384,0.5605513070763405,3,22,0.6832550319456029
location_39,0.830617799506808,0.3991184903245943,19,21,0.4161756092202562
location_40,0.3148562099605039,0.8350333783286573,12,42,0.2592356880351878
location_41,0.0230781266669427,0.1168486325106108,8,36,0.5936258305205513
location_42,0.3789819040359223,0.958888766185794,9,24,0.2656072972368465
location_43,0.6102002788086442,0.3399303906625053,17,23,0.40177129912363985
location_44,0.6668201687343711,0.0079944197152176,18,41,0.7008089634640076
location_45,0.712683816155606,0.900749755804681,9,28,0.24667086516607692
location_46,0.4278053863017376,0.1173871446266898,16,39,0.5197195906953103
location_47,0.3759663933821292,0.4717196039408013,8,26,0.3471625395494643
location_48,0.7664699770861978,0.0702693580139425,10,31,0.7466827450248692
location_49,0.8704341704599186,0.8800142496367337,4,39,0.44062091738621073
