location_name,demand
location_0,17.0
location_1,18.0
location_2,38.0
location_3,23.0
location_4,23.0
location_5,7.0
location_6,25.0
location_7,25.0
location_8,47.0
location_9,21.0
location_10,13.0
location_11,20.0
location_12,30.0
location_13,42.0
location_14,28.0
location_15,10.0
location_16,35.0
location_17,25.0
location_18,19.0
location_19,11.0
location_20,23.0
location_21,28.0
location_22,41.0
location_23,45.0
location_24,40.0
location_25,6.0
location_26,11.0
location_27,16.0
location_28,18.0
location_29,48.0
location_30,35.0
location_31,48.0
location_32,20.0
location_33,19.0
location_34,20.0
location_35,38.0
location_36,17.0
location_37,20.0
location_38,28.0
location_39,29.0
location_40,32.0
location_41,32.0
location_42,16.0
location_43,38.0
location_44,43.0
location_45,25.0
location_46,22.0
location_47,18.0
location_48,29.0
location_49,36.0
