location_name,site_name,discounting_factor
location_0,site_0,0.31202892720685926
location_0,site_1,0.0
location_0,site_2,0.0
location_0,site_3,0.0
location_0,site_4,0.0
location_0,site_5,0.0
location_0,site_6,0.0
location_0,site_7,0.0
location_0,site_8,0.0
location_0,site_9,0.0
location_0,site_10,0.0
location_0,site_11,0.0
location_0,site_12,0.0
location_0,site_13,0.4983783169757031
location_0,site_14,0.0
location_0,site_15,0.0
location_0,site_16,0.0
location_0,site_17,0.0
location_0,site_18,0.0
location_0,site_19,0.0
location_0,site_20,0.0
location_0,site_21,0.0
location_0,site_22,0.0
location_0,site_23,0.0
location_0,site_24,0.0
location_1,site_0,0.0
location_1,site_1,0.0
location_1,site_2,0.0
location_1,site_3,0.09331750378860222
location_1,site_4,0.24790477818736642
location_1,site_5,0.0
location_1,site_6,0.34339101407665695
location_1,site_7,0.0
location_1,site_8,0.8374098826444325
location_1,site_9,0.7784368838987924
location_1,site_10,0.0
location_1,site_11,0.0
location_1,site_12,0.0
location_1,site_13,0.0
location_1,site_14,0.0
location_1,site_15,0.0
location_1,site_16,0.0
location_1,site_17,0.0
location_1,site_18,1.0
location_1,site_19,0.0
location_1,site_20,0.6538051364717631
location_1,site_21,0.0
location_1,site_22,0.0
location_1,site_23,0.0
location_1,site_24,0.06223614641509973
location_2,site_0,0.0
location_2,site_1,0.0
location_2,site_2,0.0
location_2,site_3,0.0
location_2,site_4,0.0
location_2,site_5,0.0
location_2,site_6,0.0
location_2,site_7,0.0
location_2,site_8,0.0
location_2,site_9,0.0
location_2,site_10,1.0
location_2,site_11,0.0
location_2,site_12,0.0
location_2,site_13,0.0
location_2,site_14,0.7589247522584018
location_2,site_15,0.0
location_2,site_16,0.0
location_2,site_17,0.0
location_2,site_18,0.0
location_2,site_19,0.7350859981463902
location_2,site_20,0.0
location_2,site_21,0.9513402602451577
location_2,site_22,0.0
location_2,site_23,0.0
location_2,site_24,0.0
location_3,site_0,0.0
location_3,site_1,0.0
location_3,site_2,0.0
location_3,site_3,0.0
location_3,site_4,0.0
location_3,site_5,0.0
location_3,site_6,0.0
location_3,site_7,0.0
location_3,site_8,0.0
location_3,site_9,0.0
location_3,site_10,0.028773096712750582
location_3,site_11,0.0
location_3,site_12,0.0
location_3,site_13,0.06610732809035486
location_3,site_14,0.0
location_3,site_15,0.3650801128520483
location_3,site_16,0.7000927782927873
location_3,site_17,0.0
location_3,site_18,0.0
location_3,site_19,0.0
location_3,site_20,0.0
location_3,site_21,0.7789592685544965
location_3,site_22,0.0
location_3,site_23,0.0
location_3,site_24,0.0
location_4,site_0,0.0
location_4,site_1,0.0
location_4,site_2,0.0
location_4,site_3,0.35046089724324747
location_4,site_4,0.2206828330784186
location_4,site_5,0.0
location_4,site_6,0.15035059025979125
location_4,site_7,0.0
location_4,site_8,1.0
location_4,site_9,0.5786543495459059
location_4,site_10,0.0
location_4,site_11,0.0
location_4,site_12,0.0
location_4,site_13,0.0
location_4,site_14,0.0
location_4,site_15,0.0
location_4,site_16,0.0
location_4,site_17,0.0
location_4,site_18,1.0
location_4,site_19,0.0
location_4,site_20,0.41280669834151645
location_4,site_21,0.0
location_4,site_22,0.0
location_4,site_23,0.21552447982093328
location_4,site_24,0.2651924623951188
location_5,site_0,0.0
location_5,site_1,0.0
location_5,site_2,0.36415341411298907
location_5,site_3,0.0
location_5,site_4,0.0
location_5,site_5,0.29351666718393066
location_5,site_6,0.0
location_5,site_7,0.9972940172697644
location_5,site_8,0.0
location_5,site_9,0.0
location_5,site_10,0.0
location_5,site_11,0.9830907878967128
location_5,site_12,0.0
location_5,site_13,0.0
location_5,site_14,0.0
location_5,site_15,0.0
location_5,site_16,0.0
location_5,site_17,1.0
location_5,site_18,0.0
location_5,site_19,0.0
location_5,site_20,0.0
location_5,site_21,0.0
location_5,site_22,0.0
location_5,site_23,0.0
location_5,site_24,0.0
location_6,site_0,0.0
location_6,site_1,0.0
location_6,site_2,0.0
location_6,site_3,0.0
location_6,site_4,0.0
location_6,site_5,0.0
location_6,site_6,0.0
location_6,site_7,0.0
location_6,site_8,0.0
location_6,site_9,0.0
location_6,site_10,0.3293091955260662
location_6,site_11,0.0
location_6,site_12,0.05448540083830251
location_6,site_13,0.03515040831884808
location_6,site_14,0.0
location_6,site_15,0.5305110453178854
location_6,site_16,0.7986058727733449
location_6,site_17,0.0
location_6,site_18,0.0
location_6,site_19,0.0
location_6,site_20,0.0
location_6,site_21,1.0
location_6,site_22,0.0
location_6,site_23,0.0
location_6,site_24,0.0
location_7,site_0,0.03466388777723706
location_7,site_1,0.0
location_7,site_2,0.0
location_7,site_3,0.0
location_7,site_4,0.0
location_7,site_5,0.0
location_7,site_6,0.0
location_7,site_7,0.0
location_7,site_8,0.0
location_7,site_9,0.0
location_7,site_10,0.2787129826245624
location_7,site_11,0.0
location_7,site_12,0.0814881767901196
location_7,site_13,0.08667585809098961
location_7,site_14,0.0
location_7,site_15,0.5602962513183399
location_7,site_16,0.8409705222513071
location_7,site_17,0.0
location_7,site_18,0.0
location_7,site_19,0.0
location_7,site_20,0.0
location_7,site_21,0.9814384309557299
