"examiner_id","gender","race","tenure_days","ISSUED_applications","abandoned_applications","au_moves","tc_moves","PEN_applications","separation_indicator","num_classes","num_subclasses","avg_ISS_processing","avg_ABN_processing"
59012,"male","white",4013,38,46,32,0,0,1,15,79,1356.65789473684,1244.30434782609
59052,"male","Asian",2017,2,6,1,0,0,1,5,6,857.5,427.333333333333
59054,"unknown","Asian",5887,6,4,3,0,0,1,5,10,1415.66666666667,1119
59055,"male","Asian",1149,0,2,0,0,0,1,1,2,NA,932.5
59074,"unknown","white",6255,135,31,30,7,0.0303030303030303,1,60,150,1653.25925925926,1256.16129032258
59096,"male","white",5800,60,42,2,2,0,1,28,99,901.383333333333,783.738095238095
59099,"unknown","white",1493,16,6,0,0,0,1,7,19,1118.375,917.166666666667
59117,"male","white",925,0,1,0,0,0,1,1,1,NA,915
59122,"male","white",4161,4,1,0,0,0,1,3,5,1095,855
59126,"male","white",6063,12,1,2,0,0,1,4,13,1252.5,1366
59156,"unknown","white",6274,149,233,0,0,0,1,165,297,1655.61073825503,1277.48927038627
59165,"female","white",2010,4,17,4,0,0,1,15,19,1088,1118.23529411765
59196,"male","Asian",790,0,1,0,0,0,1,1,1,NA,514
59213,"unknown","Asian",6008,10,7,0,0,0,1,5,17,1440.3,975
59230,"unknown","white",5631,51,3,0,0,0,1,26,49,1722.52941176471,1359.66666666667
59234,"male","Hispanic",528,1,0,0,0,0,1,1,1,547,NA
59255,"male","white",1729,9,7,6,0,0,1,5,14,1224.33333333333,1003.42857142857
59256,"male","white",760,0,1,0,0,0,1,1,1,NA,564
59271,"male","white",1455,8,9,0,0,0,1,8,16,1165.125,803.222222222222
59273,"female","black",2249,4,0,0,0,0,1,3,4,671.25,NA
59284,"unknown","white",4754,17,33,0,0,0,1,14,50,1077.76470588235,958.484848484848
59335,"male","Asian",945,1,0,0,0,0,1,1,1,965,NA
59346,"male","white",793,0,1,0,0,0,1,1,1,NA,681
59356,"female","white",5288,8,2,0,0,0,1,6,10,534.75,280.5
59378,"male","white",782,1,1,0,0,0,1,1,2,771,642
59384,"female","white",2454,1,0,0,0,0,1,1,1,610,NA
59386,"male","white",373,0,0,0,0,2,1,1,2,NA,NA
59390,"male","white",1136,7,2,0,0,0,1,4,8,1046.71428571429,815.5
59395,"male","Asian",3663,24,51,29,0,0,1,31,60,1165.41666666667,917.313725490196
59397,"unknown","white",6141,142,110,76,45,0.0384615384615385,1,107,235,2048.09154929577,1585.82727272727
59428,"female","white",1661,1,5,0,0,0,1,3,6,1497,1405.8
59430,"male","white",1390,0,5,0,0,0,1,5,5,NA,849.4
59438,"female","white",3602,40,15,0,0,0,1,12,51,1189.7,975.133333333333
59439,"male","white",1757,6,31,13,0,0,1,12,33,1288.66666666667,900.064516129032
59440,"unknown","white",5527,57,165,61,0,0,1,55,142,1584.64912280702,1257.35757575758
59490,"unknown","Asian",1556,1,18,3,0,0,1,10,18,726,1125.61111111111
59501,"female","white",5693,10,110,0,0,0.032258064516129,1,35,90,1601.8,1210.04545454545
59511,"male","Asian",1364,0,12,0,0,0,1,5,9,NA,849.583333333333
59519,"unknown","Asian",2023,2,3,0,0,0,1,3,5,1502.5,1784.66666666667
59558,"male","white",2032,5,0,1,0,0.25,1,5,5,527.8,NA
59590,"male","Asian",1254,11,2,0,0,0,1,5,12,869.818181818182,858.5
59601,"male","Asian",944,2,1,0,0,0,1,2,3,894.5,718
59642,"male","white",2095,52,34,0,0,0,1,27,71,1114.05769230769,1138.05882352941
59658,"male","white",5894,29,95,2,0,0,1,48,79,1844.1724137931,1210.13684210526
59697,"male","white",5842,37,52,47,38,0,1,19,75,2079.24324324324,1879.65384615385
59698,"female","white",3545,3,1,0,0,0,1,4,4,1650,576
59710,"female","white",567,0,1,0,0,0,1,1,1,NA,298
59719,"unknown","Asian",5979,66,72,45,45,0.0357142857142857,1,30,119,1958.10606060606,1538.16666666667
59726,"male","white",1828,16,22,0,0,0,1,9,32,929.9375,968.954545454545
59738,"male","Asian",4166,1,0,0,0,0,1,1,1,1216,NA
59746,"male","Asian",1825,13,9,0,0,0,1,6,20,1234.30769230769,1028.44444444444
59766,"male","white",4847,6,0,0,0,0,1,4,6,434.333333333333,NA
59773,"male","white",3227,3,12,0,0,0,1,7,12,1630,1324.33333333333
59801,"male","white",1519,0,3,0,0,0,1,2,3,NA,1254.66666666667
59803,"male","white",3089,9,2,0,0,0,1,11,11,1025.55555555556,427.5
59808,"unknown","Asian",2165,62,8,0,0,0,1,14,60,1142.67741935484,1046.25
59849,"unknown","white",1287,3,0,0,0,0,1,3,3,1212.66666666667,NA
59884,"female","white",687,0,1,0,0,0,1,1,1,NA,673
59895,"female","white",413,2,0,0,0,0,1,1,2,356,NA
59907,"male","white",3906,0,11,1,0,0,1,9,9,NA,1237.90909090909
59922,"female","white",6197,172,78,0,0,0,1,68,190,958.970930232558,790.397435897436
59956,"female","Asian",947,2,0,0,0,0,1,2,2,645,NA
59985,"female","white",3192,15,3,0,0,0,1,10,18,973.2,421
59993,"male","Hispanic",2060,1,14,0,0,0,1,7,15,1902,1234.5
59999,"unknown","white",6289,54,66,19,0,0,1,40,82,1437.68518518519,946.651515151515
60008,"female","Asian",6189,59,164,5,5,0,1,79,126,1882.16949152542,1347.21951219512
60024,"male","white",1618,1,5,0,0,0,1,5,6,588,1126.2
60028,"female","white",5788,62,96,41,0,0.114285714285714,0,35,125,1869.61290322581,1673.92708333333
60044,"male","white",1090,1,0,0,0,0,1,1,1,1110,NA
60051,"male","white",5161,4,1,0,0,0,1,4,5,533.5,364
60059,"male","white",6282,68,35,0,0,0,1,39,96,1261.29411764706,800.257142857143
60084,"male","white",5350,16,49,0,0,0,1,14,57,1673.4375,1466.20408163265
60140,"male","white",1547,1,5,0,0,0,1,5,6,1567,711.8
60142,"female","white",5348,14,26,0,0,0,1,21,37,1520.21428571429,1229.53846153846
60146,"male","white",5146,47,52,0,0,0,1,34,88,1834.06382978723,1488.78846153846
60153,"female","Asian",3169,1,2,0,0,0,1,2,3,1377,1360
60185,"male","white",1337,2,7,4,0,0,1,4,9,1126,981
60197,"female","white",1409,22,3,8,0,0,1,9,20,940.363636363636,854
60206,"male","Asian",5216,132,33,40,0,0,1,32,138,1451.47727272727,1574.09090909091
60212,"unknown","white",1643,2,4,0,0,0,1,4,5,1115,657.75
60246,"male","white",5657,30,2,0,0,0,1,10,30,676.466666666667,321
60257,"male","Asian",3771,4,0,0,0,0,1,3,3,754.5,NA
60265,"male","Asian",1544,0,15,0,0,0,1,7,14,NA,1140.73333333333
60287,"female","white",561,1,1,0,0,0,1,2,2,237,523
60355,"male","white",4981,49,1,1,0,0,1,5,31,312.30612244898,170
60361,"female","white",649,1,0,0,0,0,1,1,1,669,NA
60396,"male","white",5855,85,21,0,0,0,1,31,105,727.517647058824,553.047619047619
60410,"male","white",1336,3,0,0,0,0,1,3,3,1050.66666666667,NA
60431,"female","white",4627,27,13,12,0,0,1,11,37,1131.2962962963,894.923076923077
60465,"male","white",6219,85,48,27,0,0,1,25,119,1816.84705882353,1519.8125
60504,"female","white",3007,4,59,13,0,0,1,21,60,1266,966
60520,"female","Asian",5495,49,9,0,0,0,1,18,55,613.612244897959,326.444444444444
